file;sheet;outcome;comment;csv_file_name
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;3dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;4dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;5dpi;False;No header;
Comparaison_Exp22DM08_inoc1_saisie_V1_V2.xlsx;6dpi;False;No header;
Exp16DM01_saisie.xlsx;moyenne OIV;False;Missing columns: ['photo', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp16DM01_saisie.xlsx;fichier total;True;success;Exp16DM01_saisie_fichier total.csv
Exp16DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM02_inoc1_saisie_fichier total.csv
Exp16DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM02_inoc2_saisie_fichier total.csv
Exp16DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc1_saisie_fichier total.csv
Exp16DM03_inoc1_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc2_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc2_saisie_fichier total.csv
Exp16DM03_inoc3_saisie.xlsx;Feuil1;False;Missing columns: ['photo'];
Exp16DM03_inoc3_saisie.xlsx;fichier total;True;success;Exp16DM03_inoc3_saisie_fichier total.csv
Exp16DM04_inoc1_saisie.xlsx;6dpi;True;success;Exp16DM04_inoc1_saisie_6dpi.csv
Exp16DM04_inoc2_saisie.xlsx;6dpi;True;success;Exp16DM04_inoc2_saisie_6dpi.csv
Exp16DM05_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc1_saisie_fichier total.csv
Exp16DM05_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc2_saisie_fichier total.csv
Exp16DM05_inoc3_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc3_saisie_fichier total.csv
Exp16DM05_inoc4_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc4_saisie_fichier total.csv
Exp16DM05_inoc5_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc5_saisie_fichier total.csv
Exp16DM05_inoc6_saisie.xlsx;fichier total;True;success;Exp16DM05_inoc6_saisie_fichier total.csv
Exp16DM06_saisie.xlsx;fichier total;True;success;Exp16DM06_saisie_fichier total.csv
Exp16DM07_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM07_inoc1_saisie_fichier total.csv
Exp16DM07_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM07_inoc2_saisie_fichier total.csv
Exp16DM08_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM08_inoc1_saisie_fichier total.csv
Exp16DM09_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM09_inoc1_saisie_fichier total.csv
Exp16DM10_saisie.xlsx;fichier total;True;success;Exp16DM10_saisie_fichier total.csv
Exp16DM11_inoc1_saisie.xlsx;Moyenne;False;No header;
Exp16DM11_inoc1_saisie.xlsx;fichier_total;True;success;Exp16DM11_inoc1_saisie_fichier_total.csv
Exp16DM11_inoc2_saisie.xlsx;Moyenne;False;No header;
Exp16DM11_inoc2_saisie.xlsx;fichier_total;True;success;Exp16DM11_inoc2_saisie_fichier_total.csv
Exp16DM12_inoc1_saisie.xlsx;fichier total;True;success;Exp16DM12_inoc1_saisie_fichier total.csv
Exp16DM12_inoc2_saisie.xlsx;fichier total;True;success;Exp16DM12_inoc2_saisie_fichier total.csv
Exp17DM01_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc1_saisie_fichier total.csv
Exp17DM01_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc2_saisie_fichier total.csv
Exp17DM01_inoc3_saisie.xlsx;fichier total;True;success;Exp17DM01_inoc3_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc1_saisie_fichier total.csv
Exp17DM02_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc2_saisie_fichier total.csv
Exp17DM02_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc3_saisie.xlsx;Feuil1;False;No header;
Exp17DM02_inoc3_saisie.xlsx;fichier total;True;success;Exp17DM02_inoc3_saisie_fichier total.csv
Exp17DM03_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp17DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM03_inoc1_saisie_fichier total.csv
Exp17DM03_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp17DM03_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM03_inoc2_saisie_fichier total.csv
Exp17DM04_inoc1_saisie.xlsx;fichier total;True;success;Exp17DM04_inoc1_saisie_fichier total.csv
Exp17DM04_inoc2_saisie.xlsx;fichier total;True;success;Exp17DM04_inoc2_saisie_fichier total.csv
Exp17DM04_inoc3_saisie.xlsx;fichier total;True;success;Exp17DM04_inoc3_saisie_fichier total.csv
Exp17DM04_inoc3_saisie.xlsx;Feuil1;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp17DM04_inoc4_saisie.xlsx;fichier total;True;success;Exp17DM04_inoc4_saisie_fichier total.csv
Exp17DM07_inoc1_saisie.xlsx;6dpi;True;success;Exp17DM07_inoc1_saisie_6dpi.csv
Exp17DM07_inoc1_saisie.xlsx;4dpi;True;success;Exp17DM07_inoc1_saisie_4dpi.csv
Exp17DM07_inoc1_saisie.xlsx;5dpi;True;success;Exp17DM07_inoc1_saisie_5dpi.csv
Exp17DM07_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp17DM08_saisie.xlsx;fichier total;True;success;Exp17DM08_saisie_fichier total.csv
Exp17DM08_saisie.xlsx;Feuil1;False;No header;
Exp18DM01_inoc1_saisie.xlsx;fichier total;True;success;Exp18DM01_inoc1_saisie_fichier total.csv
Exp18DM01_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp18DM01_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp18DM01_inoc2_saisie.xlsx;fichier total;True;success;Exp18DM01_inoc2_saisie_fichier total.csv
Exp18DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp18DM02_inoc1_saisie_fichier total.csv
Exp18DM02_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp18DM02_inoc2et3_saisie.xlsx;fichier total;True;success;Exp18DM02_inoc2et3_saisie_fichier total.csv
Exp18DM03_saisie.xlsx;fichier total;True;success;Exp18DM03_saisie_fichier total.csv
Exp18DM03_saisie.xlsx;Feuil1;False;No header;
Exp18DM04_inoc1_saisie.xlsx;4dpi;True;success;Exp18DM04_inoc1_saisie_4dpi.csv
Exp18DM04_inoc1_saisie.xlsx;5dpi;True;success;Exp18DM04_inoc1_saisie_5dpi.csv
Exp18DM04_inoc1_saisie.xlsx;6dpi;True;success;Exp18DM04_inoc1_saisie_6dpi.csv
Exp18DM05_saisie.xlsx;4dpi;True;success;Exp18DM05_saisie_4dpi.csv
Exp18DM05_saisie.xlsx;5dpi;True;success;Exp18DM05_saisie_5dpi.csv
Exp18DM05_saisie.xlsx;6dpi;True;success;Exp18DM05_saisie_6dpi.csv
Exp18DM05_saisie.xlsx;fichier_total;False;Missing columns: ['photo'];
Exp18DM06_saisie.xlsx;Feuil1;False;No header;
Exp18DM06_saisie.xlsx;fichier total;True;success;Exp18DM06_saisie_fichier total.csv
Exp18DM07_saisie.xlsx;6dpi;True;success;Exp18DM07_saisie_6dpi.csv
Exp18DM10_saisie.xlsx;fichier total;True;success;Exp18DM10_saisie_fichier total.csv
Exp19DM01_saisie.xlsx;fichier total;True;success;Exp19DM01_saisie_fichier total.csv
Exp19DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp19DM02_inoc1_saisie_fichier total.csv
Exp19DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp19DM02_inoc2_saisie_fichier total.csv
Exp19DM03_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp19DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp19DM03_inoc1_saisie_fichier total.csv
Exp19DM03_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp19DM03_inoc2_saisie.xlsx;fichier total;True;success;Exp19DM03_inoc2_saisie_fichier total.csv
Exp19DM04_inoc1_saisie.xlsx;fichier total;True;success;Exp19DM04_inoc1_saisie_fichier total.csv
Exp19DM04_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp19DM04_inoc1_saisie_bis.xlsx;fichier total;True;success;Exp19DM04_inoc1_saisie_bis_fichier total.csv
Exp19DM04_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp19DM04_inoc2_saisie.xlsx;fichier total;True;success;Exp19DM04_inoc2_saisie_fichier total.csv
Exp19DM04_inoc2_saisie_bis.xlsx;fichier total;True;success;Exp19DM04_inoc2_saisie_bis_fichier total.csv
Exp19DM06_inoc1_saisie.xlsx;tcd;False;No header;
Exp19DM06_inoc1_saisie.xlsx;fichier total;True;success;Exp19DM06_inoc1_saisie_fichier total.csv
Exp19DM06_inoc2_saisie.xlsx;tcd;False;No header;
Exp19DM06_inoc2_saisie.xlsx;fichier total;True;success;Exp19DM06_inoc2_saisie_fichier total.csv
Exp19DM07_saisie.xlsx;fichier total;True;success;Exp19DM07_saisie_fichier total.csv
Exp19DM07_saisie.xlsx;Feuil1;False;No header;
Exp19DM09_saisie.xlsx;4dpi;True;success;Exp19DM09_saisie_4dpi.csv
Exp19DM09_saisie.xlsx;5dpi;False;No header;
Exp19DM09_saisie.xlsx;6dpi;False;No header;
Exp19DM10_saisie.xlsx;7dpi;False;Missing columns: ['ligne', 'colonne'];
Exp19DM10_saisie.xlsx;5dpi;False;Missing columns: ['ligne', 'colonne'];
Exp20DM01_inoc1_saisie.xlsx;fichier total;True;success;Exp20DM01_inoc1_saisie_fichier total.csv
Exp20DM01_inoc1_saisie.xlsx;Feuil1;False;No header;
Exp20DM01_inoc2_saisie.xlsx;fichier total;True;success;Exp20DM01_inoc2_saisie_fichier total.csv
Exp20DM01_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp20DM02_inoc1_saisie.xlsx;fichier total;True;success;Exp20DM02_inoc1_saisie_fichier total.csv
Exp20DM02_inoc2_saisie.xlsx;fichier total;True;success;Exp20DM02_inoc2_saisie_fichier total.csv
Exp20DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp20DM03_inoc1_saisie_fichier total.csv
Exp20DM03_inoc1_saisie.xlsx;inoc1-inoc2;False;No header;
Exp20DM03_inoc1_saisie.xlsx;tcd;False;No header;
Exp20DM03_inoc2_saisie.xlsx;tcd;False;No header;
Exp20DM03_inoc2_saisie.xlsx;fichier total;True;success;Exp20DM03_inoc2_saisie_fichier total.csv
Exp20DM04_inoc1_saisie.xlsx;fichier total;True;success;Exp20DM04_inoc1_saisie_fichier total.csv
Exp20DM04_inoc2_saisie.xlsx;fichier total;True;success;Exp20DM04_inoc2_saisie_fichier total.csv
Exp21DM01_inoc1_saisie.xlsx;3dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp21DM01_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM01_inoc1_saisie.xlsx;6dpi;True;success;Exp21DM01_inoc1_saisie_6dpi.csv
Exp21DM01_inoc1_saisie.xlsx;Listes;False;No header;
Exp21DM01_inoc2_saisie.xlsx;Listes;False;No header;
Exp21DM01_inoc2_saisie.xlsx;6dpi;True;success;Exp21DM01_inoc2_saisie_6dpi.csv
Exp21DM01_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM02_inoc1_saisie.xlsx;Listes;False;No header;
Exp21DM02_inoc1_saisie.xlsx;6dpi;True;success;Exp21DM02_inoc1_saisie_6dpi.csv
Exp21DM02_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM02_inoc1_saisie_Rochefort.xlsx;Rochefort 6 dpi;False;No header;
Exp21DM02_inoc2_saisie.xlsx;6dpi;True;success;Exp21DM02_inoc2_saisie_6dpi.csv
Exp21DM03_inoc1_saisie.xlsx;fichier total;True;success;Exp21DM03_inoc1_saisie_fichier total.csv
Exp21DM03_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM03_inoc1_saisie.xlsx;Listes;False;No header;
Exp21DM03_inoc2_saisie.xlsx;Listes;False;No header;
Exp21DM03_inoc2_saisie.xlsx;3dpi;True;success;Exp21DM03_inoc2_saisie_3dpi.csv
Exp21DM03_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM03_inoc2_saisie.xlsx;6dpi;True;success;Exp21DM03_inoc2_saisie_6dpi.csv
Exp21DM03_inoc3_saisie.xlsx;Listes;False;No header;
Exp21DM03_inoc3_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM03_inoc3_saisie.xlsx;4dpi;True;success;Exp21DM03_inoc3_saisie_4dpi.csv
Exp21DM03_inoc3_saisie.xlsx;6dpi;True;success;Exp21DM03_inoc3_saisie_6dpi.csv
Exp21DM03_inoc4_saisie.xlsx;Listes;False;No header;
Exp21DM03_inoc4_saisie.xlsx;4dpi;True;success;Exp21DM03_inoc4_saisie_4dpi.csv
Exp21DM03_inoc4_saisie.xlsx;6dpi;True;success;Exp21DM03_inoc4_saisie_6dpi.csv
Exp21DM03_inoc4_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM04_inoc1_saisie.xlsx;6dpi;True;success;Exp21DM04_inoc1_saisie_6dpi.csv
Exp21DM04_inoc1_saisie.xlsx;Listes;False;No header;
Exp21DM04_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM04_inoc2_saisie.xlsx;Listes;False;No header;
Exp21DM04_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM04_inoc2_saisie.xlsx;Feuil1;False;No header;
Exp21DM04_inoc2_saisie.xlsx;6dpi;True;success;Exp21DM04_inoc2_saisie_6dpi.csv
Exp21DM04_inoc2_saisie.xlsx;3dpi;True;success;Exp21DM04_inoc2_saisie_3dpi.csv
Exp21DM04_inoc3_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM04_inoc3_saisie.xlsx;Listes;False;No header;
Exp21DM04_inoc3_saisie.xlsx;6dpi;True;success;Exp21DM04_inoc3_saisie_6dpi.csv
Exp21DM05_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM05_inoc1_saisie.xlsx;6dpi;True;success;Exp21DM05_inoc1_saisie_6dpi.csv
Exp21DM05_inoc1_saisie.xlsx;Listes;False;No header;
Exp21DM05_inoc1_saisie.xlsx;3dpi;True;success;Exp21DM05_inoc1_saisie_3dpi.csv
Exp21DM05_inoc1_saisie.xlsx;2dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp21DM05_inoc2_saisie.xlsx;Listes;False;No header;
Exp21DM05_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp21DM05_inoc2_saisie.xlsx;6dpi;True;success;Exp21DM05_inoc2_saisie_6dpi.csv
Exp21DM05_inoc2_saisie.xlsx;3dpi;False;Corrupted dataframe, failed to retrieve photos;
